position,player_name
1,Ben Foster (WA)
2,Travis Crawley (NSW)
4,Stone Stenhouse (WA)
4,Andy Barnett (QLD)
8,Macwin Fernandes (QLD)
8,Brent Read (NSW)
8,Ron Kelly (WA)
8,Luke Foster (WA)
16,Nathan McMahon (WA)
16,Michael Hayes (SA)
16,Jayden Domeika (SA)
16,Josh Gorski (VIC)
16,Blair Kirkcaldy (TAS)
16,Rob Bowen (VIC)
16,Chris Beagley (NT)
16,Brendan Kantor (QLD)
32,Jeff Gluyas (SA)
32,Craig Stevens (QLD)
32,Matthew Diatschenko (NT)
32,Sam Taylor (QLD)
32,Ben Judge (WA)
32,Jack Hunter (SA)
32,Daniel Podgorski (SA)
32,William Kossack (NT)
32,Jacob Marshall (TAS)
32,Steve Saxon (WA)
32,Brenton Collier (SA)
32,Scott Parker (VIC)
32,Jay Windross (NSW)
32,Chris Davis (NT)
32,Cale Barrett (TAS)
32,Joseph Rennie (ACT)
64,Steve Jamieson (VIC)
64,Peter O'Keefe (NSW)
64,Jamie Staines (NSW)
64,Corey Mansson (TAS)
64,Calum Mackay (WA)
64,Sam Cullen (ACT)
64,Luke Anglesey (WA)
64,Bradley Beveridge (TAS)
64,Kris Cherry (TAS)
64,Wayne Gilmour (WA)
64,Brad Abdilla (NT)
64,Andrew Luu (WA)
64,Paull Clack (VIC)
64,David Lynton (QLD)
64,Jack Crawley (NSW)
64,Erik Westerholm (SA)
64,Steve Shovan (VIC)
64,Jonathan Wilkins (ACT)
64,Charles Huang (ACT)
64,Tim Olencewicz (NT)
64,Rhys Goddem (VIC)
64,Jakk Phillips (VIC)
64,Mandar Ranganekar (WA)
64,Aaron James (QLD)
64,Dane Beeton (QLD)
64,Jordan Boyd (NSW)
64,James (Rocky) Hammond (WA)
64,Micky Lennon (NSW)
64,Chris Brett (ACT)
64,Scott Easton (VIC)
64,Matt Pisano (NSW)
64,Scott Coburn (NT)
128,Brendan D'Aquino (ACT)
128,Mick Girvan (ACT)
128,Jordan Percy (TAS)
128,Chris Lilly (ACT)
