position,player_name
1,Gus Di Giorgio
2,Sean Dempsey
4,Matt Harmon
4,Jamie Walker
8,Joseph Rennie
8,Temujin Dixon
8,Joseph Evans
8,Rhys Godden
16,Adam Bleumink
16,Vince Barbuto
16,Mick Reardon
16,Anthony Jeffrey
16,Mick Taylor
16,Phil Tunstall
16,Gavin Roberts
16,Tony Masci
32,Jason Ramsden
32,Don Colbert
32,Dale Watson
32,Jack Heinjus
32,Nic Edlinger
32,Jim Heijus
32,Rob Bowen
32,Jon Carver
32,Ciaran Dempsey
32,Phil Lee
32,Tim Shelton
32,Tristan Earl
32,Jake McCartney
32,Decoda Cook
32,Jessica Woods
32,Wayne Kong-Gardiner
64,Branden Sharp
64,Don Weston
64,Dion Moir
64,Brad Berger
64,Chris Thomas
64,Adrian Lucci
64,Paul Nicou
64,Geoff Perkins
64,Brett Weehee
64,Glen Warner
64,Graham Wright
64,Kjetil Klingan
64,Jack Green
64,Larry Daly
64,Dan Lynch
64,Stan Iakovakis
64,Will Armistead
64,George Spiteri
64,Donny Frittolli
64,Scott Henderson
64,Kheymer Gabriel
64,John Russell
64,Clive Hardisty
64,Steve Halliday
64,Brendon Smith
64,Paul Norris
64,Richard Dempsey
64,Riley Core
64,Jim Rene
64,Rob Bydeveldt
64,Matt Helm
64,Nabil Hoyek
128,Steve Law
128,Warwick Howell
128,Paul Berger
128,George Young
128,Anthony Woodcroft
128,Darren Thompson
128,Vicki Raeburn
128,Younes Alami
128,Murray Jeffries
128,Ace O'Keefe
128,Trey Merlo
128,Peta Brandreth
128,Ian Wells
128,Johnny Zhu
128,Bart Phaosihavong
128,Trent Nydam
128,Brett Cooke
128,Paul Carlile
128,Nicholas Serpell
128,Patrick Hood
128,Phil O'Connor
128,Nick Robertson
128,Matt Isaia
128,Dean Murphy
128,Michael Growling
128,Paul Mafodda
128,Jamie Staines
128,Heidi Rees
128,Lachlan Ragland
128,Don King
128,Brad Oakman
128,Trevor Stockwell
128,Haywood Johnston
128,Justin Kennedy
128,Steve Falzon
128,Daniel Jenkins
128,Robert Crellin
128,bobby Dennis
128,Steve Tran
128,D'Arcee Young
128,Ricky Bariola
128,Leigh Gilpin
128,Ron Callender
128,Paul Pike
128,Noel Fontana
128,Sarah Moeahu
128,Archy Ardkor
128,Robin Saab
128,Logan Brann
128,Steven Savannah
128,Mick Norton
128,Cam Cary
128,James Menz
128,Robbie Neville
128,Gavin Kaka
128,Matt Goodlock
128,Glen Croese
128,Lisa Hagar
128,Rob Alexander
128,Nelson Chater
128,Ron Batrouney
128,Michael Schilling
128,Andy Miles
128,Dean Killen
