position,player_name
1,Marc Robertson
2,Sean Dempsey
4,Temujin Dixon
4,Rob Bowen
8,Patrick Hood
8,Johl Younger
8,Bradd Hill
8,Jamie Stevens
16,Ace O
16,Tushar Singh
16,Michael Reardon
16,Trent Mason
16,David S
16,Tom O'Keefe
16,Darren Waite
16,Sam R
32,Cody
32,Leigh M
32,Woody
32,Jack Green
32,Jeremy S
32,Dinesh P
32,Marc Messina
32,Steve Jamieson
32,Travis Martin
32,George Zamoya
32,Steve Tran
32,Andrew Luu
32,Katrina S
32,Ron C
32,Ekky Lakthong
32,Sean Walpole
64,Rob S
64,Marcus P
64,Johnny Z
64,Decoda Cook
64,Anthony J
64,Bun
64,Rondell P
64,Jason S
64,Theo N
64,Gus Di Giorgio
64,Ash B
64,Stan Iakovakis
64,Archie Akdor
64,Tony B
64,Glen O'Connell
64,Tony M
64,Zak P
64,Paul C
64,Kevin B
64,Brandy S
64,Don Colbert
64,John N
64,Joey T
64,Trent Reinheimer
64,John Pat
64,Josh L
64,Jacob W
64,Sonya B
64,Geoff P
64,Paddy
