position,player_name
1,Kelvine Lee
2,Luke Jowett
4,Jeff Gluyas
4,Anthony O'Boyle
8,David Limareff
8,Kym Saunders
8,Dave Rothall
8,Phil Jones
16,Nick Lynch
16,Anthony Cacciola
16,Shane Murphy
16,David Lyme
16,Ryan Kennedy
16,John Barton
16,Ian Brooks
16,Colin Laoutaris
32,Brenton Schulz
32,Darryl Borgardt
32,Vic Opalicki
32,Shane Bills
32,Alec Evreniadis
32,Steve Tasker
32,John Quinlan
32,Tony Jordans
32,Shannon Drury
32,Adrian Cortvriend
32,Michael Bates
32,Collin Jenkins
32,Gavin Lomax
32,Peter Richardson
32,Murray Lynch
32,Dean Burbury
