position,player_name
1,Travis Crawley
2,Chris Beagley
4,Tim Hyde
4,Justin Sajich
8,Tim Olencewicz
8,Chris Davis
8,Jamie Walker
8,Jamie Buettner
16,William Kossack
16,Choco Khan
16,Nestor Boy Dela Cruz
16,Damien Elmy
16,Raymond Harris
16,Ruel Dancel
16,Scott Mckay
16,Marc Bingham
32,Dan Lynch
32,Carl Borsi
32,Karthik Raj
32,Darren Janitz
32,Wayde Barry
32,Jimi Serci
32,Mick Caris
32,Ricky Perkins
32,Peter Barnes
32,John Williams
32,Chris Johnson
32,Robbie Savage
32,Sandy Enriquez
32,Matthew Wicks
32,Bronte Duncan
32,Trai Chan
