position,player_name
1,Patrick Hood
2,Michael Scerri
4,Jake McCartney
4,Justin Sajich
8,Toby Clack
8,Jamie Stevens
8,Ekky Lakthong
8,Temujin Dixon
16,Mark Owens
16,Darren Waite
16,Decoda Cook
16,Chase Daley
16,Vic Opalicki
16,Jack Green
16,Sean Dempsey
16,Tim Liddell
32,Matty Vanderhulsdonk
32,David Rothall
32,Alex Pace
32,Ron Callander
32,Steve Tran
32,Steve Jamieson
32,Steve Halliday
32,Tan Mahadea
32,Sean Walpole
32,Kent Beaumont
32,Travis Martin
32,Steve Law
32,Anthony Cacciola
32,Justin Allen
32,Trent Reinheimer
32,Paul Pike
64,Lorenzo Ernstzen
64,Jason Smiley
64,John Lehman
64,Jay Windross
64,James Wickett
64,Michael Reardon
64,Daniel Jenkins
64,Frank Lidonnici
64,Rhys Godden
64,Gus Di Giorgio
64,Norm Beshara
64,Johl Younger
64,Bill Lehman
64,Dion Moir
64,Dale Watson
64,Jon Patterson
64,Daniel Thorp
64,Ben Nunan
64,Ash Monocha
64,Jack Cou
64,Jason Ramsden
64,Kevin Malek
64,Kevin Van Eggelen
64,Michael Cody
64,Gavin Roberts
64,Don Colbert
64,Padricis Gautum
64,Josh Gorski
64,Andy Parker
64,Zac Flanders
64,Marc Robertson
64,Roy Noblett
128,Matt Sheedy
128,Rodney Lee
128,Peter Rivett
128,Logan Brann
128,Jakk Phillips
128,Corey Bray
128,Amelia Evans
128,Joseph Evans
128,Graeme Wright
128,Bronte Duncan
128,bobby Dennis
128,Stephen Hargreaves
128,Matt Witcombe
128,Matt Sawyer
128,Lochlan Loveday
128,Steve McCormick
128,Stan Iakovakis
128,Anthony Jeffery
128,Scott Easton
128,Mitch Adams
128,Scott Parker
128,Craig Sutherland
128,Warren Hume
128,Arsh Singh
128,Bobbie-Jo Quin
128,Travis O'Mahony
128,Tim Shelton
128,Frank Nesahat
128,Mark Meehan
128,Jaie Kennedy
128,John McCarter
128,Rob Scarcella
128,Jamie Keane
128,Eamonn Breen
128,Aaron Kilpatrick
128,Mark Williams
128,Kyle Wilson
128,Kiki Singh
128,John Russell
128,John Barton
128,Teah Raeburn
128,Tony Begovic
128,Tushar Singh
128,Andrea Colombo
128,Steven Nyman
128,Don King
128,Akkie Yooiam
128,Josh Lancaster
128,Jake Bratzendale
128,Tony Masci
128,Ronnie George
128,Bryan Perriton
128,Trevor Parker
128,Nick Baltas
128,Bailey Noblett
128,Tristan Earl
128,Rob Bowen
128,George Zomaya
128,Brendan Leigh
128,Glenn Croese
128,Ron Batrouney
128,Peter Harvie
128,Clint Aydon
128,Thomas O'Keefe
