position,player_name
1,Leon Hogg
2,Alec Evreniadis
4,Wayne Jones
4,Christopher Davis
8,Allan Hutchinson
8,Jake McCartney
8,Gavin Lomax
8,Roland Green
16,Leroy Hibbert
16,David Rothall
16,Daniel Podgorski
16,Trent Boes
16,Paolo Lobosco
16,Paul Pike
16,Jason Ahmad
16,Barry Crossey
32,Rhys Ferguson
32,Jayden Domeika
32,Nathan Nemes
32,Jamie Buettner
32,Wade Carter
32,Paul Portlock
32,Shane Tieste
32,Scott Chamberlain
32,Rene Speket
32,Erik Westerholm
32,Gordon Radford
32,Greg Serle
32,Shane Bills
32,John Russell
32,John Harding
32,Grant Weekley
64,Chris Asteriou
64,Jack Hunter
64,Colin Gamble
64,Arsh Singh
64,Justin Taylor
64,Joel Dunlop
64,Paul Edwards
64,Jethro Serle
64,Rob Taylor
64,Adam Edwards
64,Michael Cacciola
64,Mayana Aspinall
64,Michael Swift
64,Luke Yancic
64,Stuart Millikan
64,Aaron Trethewey
64,Andrew Fidge
64,Ian Long
64,Michael Hayes
64,Nathan Pedersen
64,Bradley Stewart
64,Rebekah Grimes
64,Ricky Emery
64,Craig Hartland
64,Emile Riera
64,Sonia Ferguson
64,JP Moneron
64,Brodie Grantham
64,Kane Weekley
64,Matt Harmon
64,Phil Jones
64,Mandy Pearsall
