position,player_name
1,Jayden Domeika
2,Michael Cacciola
4,Gus Di Giorgio
4,Jake McCartney
8,Rob Bowen
8,Brenton Collier
8,Thomas O'Keefe
8,Mark Owens
16,Johl Younger
16,Christopher Sutton
16,Alec Evreniadis
16,Marc Robertson
16,Shane Cripps
16,Nelson Chater
16,Stacey Vine
16,Justin Allen
32,Rory Jowett
32,Tan Mahadea
32,Craig Coleman
32,Jesse Berlemon
32,Chris Hazell
32,Temujin Dixon
32,Tony Rover
32,Malakai Durbidge
32,Danyal Porter
32,Mark Hille
32,Matt Harmon
32,Mick Delahunty
32,Kheng Heung
32,Neil Lemmey
32,Phil Reilly
32,Michael Boes
64,Ian Long
64,Fiona Plummer
64,Zac Casey
64,Jarrod Dunn
64,Jason Ahmad
64,Thomas Youlten
64,Shaief Azim
64,Glenn Williams
64,Emelia Ellaby-Hall
64,Natalie Froling
64,Dylan Moyes
64,Jethro Serle
64,David Limareff
64,Brett Niemann
64,Ewan John
64,Adam Sawulski
64,Peter Darby
64,Harry Jaensch
64,Jack Green
64,Danny Coulter
64,Simon Gray
64,John Durbidge
64,Grant Weekley
64,Don Weston
64,John Russell
64,Nathan Williams
64,Harley Spiteri
64,Jan Sumalinog
64,Barry Crossey
64,Nathan Soder
64,David Rothall
64,Jay Rohrlach
128,Duncan Bruce
128,Aaron Williams
128,Hayden Sanders
128,Elyce Harris
128,Shaun Durbidge
128,Krystal Morton
128,Corey Bray
128,Kyle Smythe
128,Bobbie-Jo Quin
128,Tom Thulborn
128,Ian Brooks
128,Justin Tsao
128,Peter Kennedy
128,Luke Jowett
128,Ryan Bennett
128,Brad McKenzie
128,Tim Shelton
128,Jason Zajarskas
128,Kathy Harmon
128,Lyndall Vine
128,Daniel Podgorski
128,Ricky Emery
128,Alex Graham
128,Bradley Stewart
128,Matt Gladwin
128,Dwayne Remphrey
128,Logan Brann
128,Darren Murnane
128,Robbie Neville
128,Paolo Lobosco
128,Joy Sullivan
128,Warwick Howell
128,Dylan Fuller
128,Dale Land
128,Deadly Duncan
128,Andrew Troughton
128,Dwaine Howser
128,Jessie Sumalinog
128,Ebony Butler
128,Matangi Tuifua
128,Kylie Power
128,bobby Dennis
128,David Jaensch
128,Brodie Grantham
128,Anthony Cacciola
128,Scott Easton
128,Leo Shek
128,Patrick Hood
128,Clarence Yamin
128,Jake Caruana
128,Shane Pitt
128,Arsh Singh
128,Stuart Stow
128,Tobias Quinlivan
128,Dianne laube
128,Jeff Scott
128,Paul Wells
128,Trent Boes
128,Taylor Meyer
128,Wok Beverley
128,Andrew Caines
128,Joe Filemu
128,Raj Gajendra
256,Joey Tohme
256,Eric Rigney
256,Phil Jones
