position,player_name
1,Justin Sajich
2,Temujin Dixon
3,Wayne Stubbs
4,Jake McCartney
6,Rusty Wheeler
6,Marc Robertson
8,Paull Clack
8,Cale Barrett
12,Jeremy McGuire
12,Steve Jamieson
12,Justin Thursby
12,Alex Pace
16,Gerrad Wicks
16,Adam Bleumink
16,Justin Stubbs
16,Mick Norton
24,Steve Halliday
24,Adam Youd
24,Roy Tan
24,Brad Joyes
24,Troy Rudling
24,Ricky Emery
24,Kylie Bellinger
24,Luke Webb
32,Chris Duckett
32,Jack Young
32,Bradley Grant
32,Peter Donati
32,Kurt Dunham
32,Paul Pike
32,John Russell
32,Josh Johnstone
48,Jacob Dunn
48,Lachlan Inmon
48,Daniel Walton
48,Scott Frankcombe
48,Colin Gamble
48,Stacey Dunlop
48,Carlton Higgins
48,Nick Robertson
48,Derek Patmore
48,Joe Watkins
48,Phil Aird
48,Brendon Smith
48,Ian Kaye
48,Venky Yarramsetti
48,Tony Quach
48,Laurence Roque
