position,player_name
1,Jake McCartney
2,Justin Sajich
4,Steve Woods
4,Tem Dixon
8,Patrick Hood
8,James Georgiadis
8,Michael Cacciola
8,Marc Robertson
16,Trent Mason
16,Greg Segal
16,Steve Jamieson
16,Jackson Agale
16,Phil Morton
16,Scott Henderson
16,Shane Smith
16,Matt Harmon
32,Alec Evreniadis
32,Rob Bowen
32,Luke Jowett
32,David Rothall
32,Jamie Buettner
32,Adam Bleumink
32,Shannon Purcell
32,Jayden Thompson
32,Travis Crawley
32,Micky Lennon
32,Wayne Kong-Gardiner
32,Barry Crossey
32,Andrew Platt
32,Dinesh Sookgreep
32,Chris Johnson
32,Jamie Walker
64,Samuel Hammond
64,Jay Dawson
64,Tim Charles
64,Aaron Lynch
64,Matt Sawyer
64,Joel Minahan
64,Trent Billington
64,Joseph Rennie
64,Brendan Leigh
64,Glen Carter
64,Ewan John
64,Travis O'Mahony
64,Mark Owens
64,Jamie Staines
64,Ashleigh Smith
64,Nic Edlinger
64,Mau Tamehana
64,Tuan Dong
64,Harry Ritzau
64,Geoff Brunsma
64,Paul Carlile
64,Josh Crowe
64,Brad Berger
64,Rhys Ferguson
64,Mal McNeill
64,Richard Sturgess
64,Ron Farmer
64,Steve Halliday
64,Scott Gee
64,Tan Mahadea
64,Corey Power
64,Peter Smith
126,Mick Sewell
126,Hoko Wetene
126,Jamie Peterson
126,Jonathan Charles
126,Chris Lilly
126,Mark Suhr
126,Steve Goodger
126,Brandy Sharp
126,Dale Gifford
126,Michael Jones
126,Warwick Howell
126,Shane McCulloch
126,Ryan Smidt
126,Kate Harrison
126,Dean Killen
126,Jason Atkins
126,Heath Newport
126,John Tose
126,Bradley McGrath
126,Chauhan Vasu
126,Ryan Bourne
126,Simon Wilson -
126,Matt Pisano
126,Chris Brett
126,Soorage Ahadizad
126,Jason Ahmad
126,Kathy Harmon
126,Josh Hands
126,Michelle Massey
126,Sam Lyons
126,Dean O'Connell
126,Dusko Felding
126,William Keogh
126,James Berresford
126,Kjetil Klingan
126,Cameron Dixon
126,Colin Gamble
126,Mick Girvan
126,Tavis Aitchison
126,Clive Hardisty
126,Murray Jeffries
126,Keith Tonna
126,Ann Moimoi
126,Mick Norton
126,Charles Huang
126,Mike Ballam
126,Dean Welsh
126,Paul Berger
126,Mike Wood
126,Valu Toloa
126,Edmund Chen
126,Brendon Smith
126,Jamie Wilson
126,Glen O'Connell
126,Kenny Nicol
126,Fabio D'Ambrosio
126,Steve Tzafaris
126,Vanessa Nelson
126,Emma Dyball
126,Jason Tanaskovic
126,Ben Veness
126,Yanni Stefaniadakis
