position,player_name
1,Ron Kelly
2,Alex Pace
4,Chris Beagley
4,Richard Williams
8,Jamie Buettner
8,Joshua Hands
8,Justin Sajich
8,Chris Davis
16,Dave Collingridge
16,Dan Lynch
16,Karl Hapke
16,Ruel Dancel
16,Jayrick Ngai
16,Ryder Stanton
16,Peter Barnes
16,Travis Crawley
32,John Williams
32,Scott Coburn
32,Nestor Boy Dela Cruz
32,Steven Siu
32,Jason Kyranis
32,Bruce Wallace
32,Josh Mooka
32,Choco Khan
32,Edward Solon
32,Melanie Sanders
32,Dan Rucci
32,Scot Evans
32,Damien Ha
32,Callum Saunders
32,Clarenz Balea
32,Brad Abdilla
64,Ricky Perkins
64,Robbie Savage
64,Carl Blinco
64,Ross Scott
64,Jerry Cantoria
64,Suzanne Allan
64,Trai Chan
64,Steve Kelly
64,Morgan Cunningham
64,Damien Elmy
64,Judy Kyranis
64,Tristan Earl
64,Jonny Pace
64,Paul Cesar Llano
64,Jimi Serci
64,Gary Atkinson
64,Luke Rokovada
64,Matthew Wicks
64,Sandy Enriquez
64,Juan Lee
64,Guy Hodgetts
64,Annette Lindsay
64,Wayde Barry
64,Graeme Stoneman
64,Renato De Jesus
64,Tim Olencewicz
64,Richard Balea
64,Adam Grace
