position,player_name
1,Kurt Dunham
2,Jake McCartney
3,Gus Di Giorgio
4,Rusty Wheeler
5,Marc Robertson
6,Justin Sajich
7,Steve Tran
8,Joseph Evans
9,Ricky Emery
10,Vijay Randall
11,Lee Mcsharry
12,Tem Dixon
13,Ricky Watson
14,Simon Singleton
15,Michael Scerri
16,Patrick Hood
17,Rob Bowen
18,Steve Woods
19,Jack Green
20,Josh Hands
21,Jakk Phillips
22,Tanarv Mahadea
23,Ben Judge
24,Brenton Collier
25,Mark Owens
26,Roy Noblett
27,Steve Jamieson
28,Michael Reardon
29,Sean Dempsey
30,Alec Evreniadis
31,Scott Parker
32,Sean Partridge
33,Ekky Lakthong
34,Jamie Stevens
35,George Zomaya
36,Josh Gorski
37,Ben Nunan
38,Joey Tohme
39,Rhys Godden
40,Ash Balgobin
41,Phil Bell
42,Alex Alabakis
43,Trai Chan
44,Mitch Adams
45,Archy Ardkor
46,Mike Ballam
47,Josh Kitanovski
48,Kevin Malek
49,Johl Younger
50,Danyal Porter
51,Ace O'Keefe
52,Taylor Speechley
53,Jason Smiley
54,Greg Segal
55,Sean Walpole
56,Matt Edwards
57,Tony Jellett
58,Jamie Buettner
59,Brent Wells
60,Roy Tan
61,Paul Pike
62,Travis Martin
63,Stan Iakovakis
64,Peter Knight
