position,player_name
1,Rusty Wheeler
2,Barry Shonhan
4,Jordy Richardson
4,Chris Davis
8,Kris Jones
8,David Lynton
8,Joe McClintock
8,Frank Walker
16,Paul Pike
16,Ryan Knopke
16,Brett Green
16,John Pettinato
16,Jamie Buettner
16,Jackson Agale
16,Rob Bowen
16,Josh Hands
32,Matty Meddings
32,Trai Chan
32,Temple Larkins
32,Joel Dagan
32,John Corrigan
32,Thomas Satrick
32,Jerome Mabb
32,Steve Jamieson
32,David Vickers
32,Pedro Armstrong
32,Mick Norton
32,Dan Lynch
32,Richard Damon
32,Peter Riley
32,Sam Taylor
